,ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Sole,Upper,Type,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
45,115184700,Converse Chuck Taylor All Star Hi trainers,26,Women,converse,315.0,black,8,Rubber Other,Textile Other,trainers,5,15,186.177,256.797,282.479
46,115184698,Converse Chuck Taylor All Star Hi trainers,26,Women,converse,315.0,white,7,Rubber Other,Other,trainers,5,47,173.339,266.427,285.688
47,125048616,Converse chuck taylor all star hi trainers,26,Women,shoes,335.0,grey,8,Rubber Other,Textile Other,shoe,5,3,160.5,266.427,295.318
48,121949797,adidas Originals Ozweego trainers,28,Women,adidas,525.0,wonder taupe/pi,9,Rubber Other,Textile LeatherOther,shoe,5,809,163.708,0.0,0.0
49,118896798,Air Jordan 1 Mid SE velvet trainers,30,Women,jordan,660.0,purple,10,Rubber Other,LeatherOther,trainers,4,14,134.818,221.49,266.427
50,121424676,adidas Originals Astir trainers,33,Women,adidas,450.0,beige,8,Other,Other,shoe,5,5,160.5,256.797,256.797
51,121424946,adidas Originals Astir trainers,33,Women,adidas,450.0,purple,7,Rubber Other,Textile Other,shoe,5,3,134.818,240.75,266.427
52,120502127,Puma Training Retaliate trainers,35,Women,puma,305.0,black,9,Rubber Other,Textile Other,shoe,4,4,179.755,160.5,260.005
53,1638384,Puma Training Retaliate trainers,35,Women,puma,305.0,black,7,Other,Textile Other,trainers,5,10,202.229,298.526,282.479
54,1659325,Puma Training Retaliate trainers,35,Women,puma,305.0,green,8,Other,Textile Other,trainers,5,141,189.385,266.427,0.0
55,1659292,Puma Training Retaliate trainers,35,Women,puma,305.0,grey,8,Other,Textile Other,trainers,5,80,179.755,263.219,285.688
56,1940528,Puma Training Retaliate trainers,35,Women,puma,305.0,white,8,Other,Textile Other,trainers,4,15,182.969,215.068,227.906
57,121178512,adidas Orignals Forum Low trainers,37,Women,adidas,450.0,ch solid grey/c,9,Rubber Other,Other,shoe,5,284,0.0,0.0,0.0
58,1963175,adidas Originals Forum low trainers,37,Women,adidas,251.91,white,9,Rubber Other,Other,trainers,5,559,154.078,253.589,285.688
59,1963169,adidas Originals Forum Low trainers,37,Women,adidas,349.0,white,8,Rubber Other,Other,trainers,5,544,154.078,269.635,285.688
60,1963164,adidas Originals Forum low trainers,37,Women,adidas,265.03,white,9,Rubber Other,Other,trainers,5,548,154.078,237.536,256.797
61,113978903,adidas Originals Forum Low trainers,37,Women,adidas,420.0,white,9,Rubber Other,LeatherOther,trainers,5,3,160.5,266.427,321.0
62,115615059,adidas Originals Forum Lo trainers,37,Women,adidas,475.0,white,8,Rubber Other,LeatherOther,trainers,5,6,173.339,295.318,321.0
63,115615116,adidas Originals Forum Lo trainers,37,Women,adidas,330.63,white,9,Rubber Other,LeatherOther,trainers,4,3,121.979,321.0,321.0
64,121178538,adidas Orignals Forum Low trainers,37,Women,shoes,450.0,ftwr white/ftwr,8,Rubber Other,Other,shoe,5,525,154.078,0.0,0.0
65,121178542,adidas Orignals Forum Low trainers,37,Women,shoes,450.0,ftwr white/ftwr,7,Rubber Other,Other,shoe,5,525,154.078,0.0,0.0
66,121178525,adidas Orignals Forum Low trainers,37,Women,shoes,356.87,ftwr white/ftwr,8,Rubber Textile Other,LeatherOther,shoe,5,525,154.078,0.0,0.0
67,118703350,adidas Originals adifom Q trainers,41,Women,adidas,475.0,white,7,Rubber Other,Textile Other,trainers,5,5,80.25,186.177,295.318
68,117366986,adidas Originals Retropy F90 trainers,42,Women,adidas,395.0,silver,8,Rubber Other,Textile Other,trainers,5,9,134.818,301.74,301.74
69,117366988,adidas Originals Retropy F90 trainers,42,Women,adidas,395.0,white,8,Rubber Other,Textile Other,trainers,5,12,134.818,253.589,285.688
70,117366987,adidas Originals Retropy F90 trainers,42,Women,adidas,395.0,pink,9,Rubber Other,Textile Other,trainers,4,10,150.87,240.75,202.229
71,117366985,adidas Originals Retropy F90 trainers,42,Women,adidas,395.0,black,8,Rubber Other,Textile Other,trainers,5,7,182.969,321.0,321.0
72,117366989,adidas Originals Retropy F90 trainers,42,Women,adidas,395.0,silver,7,Rubber Other,Textile Other,trainers,5,3,105.927,266.427,295.318
73,117366984,adidas Originals Retropy F90 trainers,42,Women,adidas,177.12,white,7,Rubber Other,Textile Other,trainers,5,13,166.917,282.479,311.37
74,1636584,New Balance 373 trainers,44,Women,new balance,420.0,black,6,Other,Textile Other,trainers,5,38,141.24,269.635,269.635
75,126283778,New Look chunky lace up boot,45,Women,new look,160.0,black,6,Rubber Other,Other,shoe,5,3,186.177,321.0,295.318
76,123384362,New Look patent flat chunky lace up boots,45,Women,new look,160.0,black,7,Rubber Other,Other,shoe,4,15,186.177,266.427,247.167
77,116018588,ASOS DESIGN Alfie chunky chelsea boots,46,Women,asos design,180.0,black,6,Other,Other,boots,4,61,160.5,231.12,237.536
78,116018583,ASOS DESIGN Alfie chunky chelsea boots,46,Women,asos design,180.0,off white,6,Other,Other,boots,4,20,170.125,234.328,215.068
79,116018667,ASOS DESIGN Alfie chunky chelsea boots,46,Women,asos design,180.0,khaki,6,Other,Other,boots,5,5,144.448,224.698,240.75
80,116018657,ASOS DESIGN Wide Fit Alfie chunky chelsea boots,47,Women,asos design,180.0,black,7,Other,Other,chelsea,4,38,176.547,218.276,224.698
81,116018596,ASOS DESIGN Wide Fit Alfie chunky chelsea boots,47,Women,asos design,180.0,off white,6,Other,Other,boots,3,16,96.2969,195.807,179.755
82,116018658,ASOS DESIGN Wide Fit Alfie chunky chelsea boots,47,Women,asos design,180.0,khaki,8,Other,Other,chelsea,4,5,112.349,240.75,288.896
83,118655490,Schuh Colette chelsea boots,48,Women,schuh,170.0,black,5,ThermoplasticPolyurethane Other,Other,shoe,4,10,186.177,247.167,192.599
84,111010415,Public Desire Wide Fit Midnight heeled shoes with bow detail,56,Women,public desire,185.0,black,7,Other,Textile Other,heels,3,12,160.5,205.438,121.979
85,115893030,Public Desire Wide Fit Midnight heeled shoes with diamante bow detail,56,Women,public desire,195.0,silver,7,Rubber Other,Other,shoe,3,25,128.396,176.547,157.286
86,116745537,Public Desire Wide Fit Midnight bow heel shoes,56,Women,public desire,195.0,olive,8,Rubber Other,Polyester Other,shoe,5,6,147.656,215.068,240.75
87,119612118,Public Desire Exclusive Wide Fit Midnight heeled shoes with diamante bow detail,56,Women,public desire,195.0,pink,6,Rubber Other,Polyester Other,shoe,4,3,160.5,202.229,240.75
88,121178518,adidas Originals Gazelle Bold platform trainers,58,Women,adidas,525.0,grey two/ftwr w,7,Rubber Other,LeatherOther,shoe,5,30,163.708,0.0,0.0
89,121178503,adidas Originals Gazelle Bold platform trainers,58,Women,adidas,525.0,core black/ftwr,7,Rubber Other,LeatherOther,shoe,5,30,163.708,0.0,0.0
90,118655492,Schuh Cecilia lace up chelsea boots,63,Women,schuh,195.0,black,6,ThermoplasticPolyurethane Other,Other,shoe,4,10,170.125,224.698,218.276
91,116039587,ASOS DESIGN Mingle chain loafers,68,Women,asos design,115.0,black,5,Other,Other,loafers,4,26,163.708,186.177,202.229
92,116039600,ASOS DESIGN Mingle chain loafers,68,Women,asos design,115.0,tan,5,Other,Other,loafers,4,13,179.755,208.646,192.599
93,1838528,New Balance 452 chunky trainers,69,Women,new balance,475.0,white,8,Other,Textile Other,trainers,5,34,166.917,292.109,304.948
94,110658493,Converse Chuck Taylor All Star Lift platform hi trainers,70,Women,converse,370.0,black,9,Rubber Other,Other,trainers,5,266,173.339,276.057,295.318
95,1462174,Converse Chuck Taylor Hi Lift Platform white trainers,70,Women,converse,312.26,white,7,Other,Textile Other,trainers,5,240,166.917,253.589,292.109
96,110028890,Converse Chuck Taylor Lift Hi platform trainers,70,Women,converse,450.0,white,9,Other,Other,trainers,5,12,154.078,288.896,282.479
97,110658491,Converse Chuck Taylor Lift Hi platform trainers,70,Women,converse,370.0,white,9,Rubber Other,Other,trainers,5,79,173.339,266.427,285.688
98,114993469,Converse Chuck Taylor Lift Hi gold detail platform trainers,70,Women,converse,356.87,grey,8,Rubber Other,Other,trainers,5,8,182.969,301.74,292.109
99,119949922,Converse Chuck Taylor All Star Lift Hi leather trainers,70,Women,converse,445.0,light blue,8,Rubber Other,Other,shoe,4,4,160.5,321.0,321.0
