ProductKey,Name,NumberCatalog,Gender,Brand,Price,Color,Details,Type,MaterialSoleRubber,MaterialSolePolyester,MaterialSoleTextile,MaterialSoleThermoplasticPolyurethane,MaterialSoleLeather,MaterialSoleOther,MaterialUpperRubber,MaterialUpperPolyester,MaterialUpperTextile,MaterialUpperThermoplasticPolyurethane,MaterialUpperLeather,MaterialUpperOther,GlobalRank,Reviews,RankSize,RankComfort,RankQuality
116709757,New Balance 530 trainers in navy and silver,3,Women,New Balance,525,,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Lace-up fastening , Branded tongue and cuff , Signature New Balance branding , ABZORB® midsole provides lightweight cushioning , Chunky sole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
116709756,New Balance 530 trainers in cream and silver,3,Women,New Balance,525,,"New-season MVPs , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
116709752,New Balance 530 trainers in beige and silver - exclusive to ASOS,3,Women,New Balance,525,BEIGE/SILVER,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.5,40,157.286,282.479,285.688
116709759,New Balance 530 trainers in white and black,3,Women,New Balance,525,WHITE/BLACK,"New kicks for your 'fit , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Perforated for ventilation , ABZORB® midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,4.6,7,195.807,276.057,240.75
116709754,New Balance 530 trainers in white and blue,3,Women,New Balance,525,WHITE/BLUE,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,0,4.5,6,160.5,282.479,282.479
116709758,New Balance 530 trainers in white and beige,3,Women,New Balance,525,WHITE/PINK,"Shoe game: won , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.6,14,138.026,240.75,240.75
116709753,New Balance 530 trainers in white and pastel green - exclusive to ASOS,3,Women,New Balance,525,WHITE/GREEN,"Made for unboxing , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Perforated for breathability , ABZORB® footbed , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.3,43,144.448,292.109,276.057
116709755,New Balance 530 trainers in white and gold,3,Women,New Balance,446.09,WHITE/GOLD,"Your casualwear companions , Low-profile design , Pull tab for easy entry , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning and is designed to absorb impact , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.1,9,195.807,276.057,266.427
117348656,New Balance 530 trainers in white silver and blue,3,Women,New Balance,525,WHITE/BLUE,"Unboxing potential: considerable , Lace-up fastening , Branded tongue and cuff , Padded for comfort , ABZORB® midsole provides lightweight cushioning , Chunky sole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,72,163.708,292.109,279.266
118795256,New Balance 530 trainers in white and green - exclusive to ASOS,3,Women,New Balance,525,WHITE/GREEN,"Exclusive to ASOS , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.3,23,179.755,285.688,276.057
118795258,New Balance 530 trainers in white and burgundy - exclusive to ASOS,3,Women,New Balance,525,WHITE/BURGUNDY,"Exclusive to ASOS , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB® midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.2,17,170.125,285.688,288.896
104600882,New Balance 327 trainers in off white/navy,4,Women,New Balance,610,OFF WHITE/NAVY,"This item is excluded from promo , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,100,4.7,43,163.708,282.479,285.688
104600872,New Balance 327 trainers in off white and burgundy,4,Women,New Balance,610,OFF WHITE/BURGUNDY,"This item is excluded from promo , Colour-block design , Low-profile style , Lace-up fastening  , Padded tongue and cuff , Signature New Balance branding  , Durable rubber outsole , Moulded tread",Trainers,0,0,0,0,0,100,0,0,0,0,0,100,4.6,63,157.286,292.109,276.057
109518352,New Balance 327 trainers in off white and pink,4,Women,New Balance,500,OFF WHITE,"This item is excluded from promo , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,98,128.396,288.896,292.109
109505334,New Balance 327 trainers in off white,4,Women,New Balance,525,WHITE,"This item is excluded from promo , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.8,37,150.87,308.156,304.948
116709774,New Balance 327 trainers in off white and green,4,Women,New Balance,525,WHITE/GREEN,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,50,0,0,50,4.6,49,125.188,295.318,282.479
116709773,New Balance 327 trainers in off white and pink,4,Women,New Balance,525,WHITE/PINK,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.9,17,163.708,288.896,301.74
116709781,New Balance 327 trainers in off white,4,Women,New Balance,555,WHITE/WHITE,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,3.7,30,125.188,276.057,256.797
118795257,New Balance 327 trainers in off white and burgundy - exclusive to ASOS,4,Women,New Balance,610,OFF WHITE/BURGUNDY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.9,15,176.547,304.948,314.578
118795252,New Balance 327 trainers in white and grey - exclusive to ASOS,4,Women,New Balance,580,WHITE/GREY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile style , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.1,19,128.396,282.479,243.958
118795253,New Balance 327 trainers in off white and yellow - Exclusive to ASOS,4,Women,New Balance,525,OFF WHITE/YELLOW,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.8,53,166.917,285.688,292.109
118795261,New Balance 327 trainers in grey - exclusive to ASOS,4,Women,New Balance,610,GREY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.6,42,138.026,285.688,285.688
121898764,New Balance 327 trainers in cream,4,Women,New Balance,610,CREAM,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread","Shoes,",100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
123188354,Topshop Libby chunky heeled loafer with chain detail in black,5,Women,Topshop,200,BLACK,"Welcome to the next phase of Topshop , Slip-on style , Snaffle detail , Apron toe , Chunky sole",Shoes,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
123188355,Topshop Libby chunky heeled loafer with chain detail in white,5,Women,Topshop,200,WHITE,"Welcome to the next phase of Topshop , Slip-on style , Snaffle detail , Apron toe , Chunky sole",Shoes,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
123168344,Topshop Maeve leather western ankle boot in black,6,Women,Topshop,385,BLACK,"Welcome to the next phase of Topshop , Pull tab for easy entry , Pull-on style , Elasticated inserts , Square toe , Chunky sole",Shoes,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
116415428,Topshop Rain sling back heeled court with bow in black,7,Women,Topshop,225,BLACK,"Welcome to the next phase of Topshop , Slingback strap , Bow detail , Pointed toe , Flared heel",Shoes,0,0,0,0,0,100,0,0,100,0,0,0,2.9,10,170.125,224.698,138.026
123188355,Topshop Libby chunky heeled loafer with chain detail in white,8,Women,Topshop,200,WHITE,"Welcome to the next phase of Topshop , Slip-on style , Snaffle detail , Apron toe , Chunky sole",Shoes,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
123188354,Topshop Libby chunky heeled loafer with chain detail in black,8,Women,Topshop,200,BLACK,"Welcome to the next phase of Topshop , Slip-on style , Snaffle detail , Apron toe , Chunky sole",Shoes,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
126320517,New Balance 608 trainers in white,9,Women,New Balance,415,WHITE,"Reshuffle your trainer rotation , Panelled design , Lace-up fastening , Padded tongue and cuff , Heel pull tab for easy on/off , Logo applique , Chunky sole , Moulded tread ",Shoes,0,0,0,0,0,100,0,0,0,0,0,100,4.6,14,121.979,269.635,285.688
118795257,New Balance 327 trainers in off white and burgundy - exclusive to ASOS,10,Women,New Balance,610,OFF WHITE/BURGUNDY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.9,15,176.547,304.948,314.578
104600872,New Balance 327 trainers in off white and burgundy,10,Women,New Balance,610,OFF WHITE/BURGUNDY,"This item is excluded from promo , Colour-block design , Low-profile style , Lace-up fastening  , Padded tongue and cuff , Signature New Balance branding  , Durable rubber outsole , Moulded tread",Trainers,0,0,0,0,0,100,0,0,0,0,0,100,4.6,63,157.286,292.109,276.057
104600882,New Balance 327 trainers in off white/navy,10,Women,New Balance,610,OFF WHITE/NAVY,"This item is excluded from promo , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,100,0,0,100,4.7,43,163.708,282.479,285.688
109518352,New Balance 327 trainers in off white and pink,10,Women,New Balance,500,OFF WHITE,"This item is excluded from promo , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,98,128.396,288.896,292.109
109505334,New Balance 327 trainers in off white,10,Women,New Balance,525,WHITE,"This item is excluded from promo , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.8,37,150.87,308.156,304.948
116709774,New Balance 327 trainers in off white and green,10,Women,New Balance,525,,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening  , Padded tongue and cuff  , Signature New Balance branding  , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0
116709773,New Balance 327 trainers in off white and pink,10,Women,New Balance,525,WHITE/PINK,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.9,17,163.708,288.896,301.74
116709781,New Balance 327 trainers in off white,10,Women,New Balance,555,,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
118795252,New Balance 327 trainers in white and grey - exclusive to ASOS,10,Women,New Balance,580,WHITE/GREY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile style , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.1,19,128.396,282.479,243.958
118795253,New Balance 327 trainers in off white and yellow - Exclusive to ASOS,10,Women,New Balance,525,OFF WHITE/YELLOW,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.8,53,166.917,285.688,292.109
118795261,New Balance 327 trainers in grey - exclusive to ASOS,10,Women,New Balance,610,GREY,"Exclusive to ASOS , Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured tread",Trainers,100,0,0,0,0,0,0,0,0,0,0,100,4.6,42,138.026,285.688,285.688
121898764,New Balance 327 trainers in cream,10,Women,New Balance,610,CREAM,"Design inspired by 70s heritage style , Low-profile design , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , Durable rubber outsole , Textured grip tread","Shoes,",100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
118795258,New Balance 530 trainers in white and burgundy - exclusive to ASOS,11,Women,New Balance,525,WHITE/BURGUNDY,"Exclusive to ASOS , Low-profile design , Pull tab for easy entry , Lace-up fastening , Padded tongue and cuff , Signature New Balance branding , ABZORB® midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread",Trainers,100,0,0,0,0,0,0,0,0,0,100,0,4.2,17,170.125,285.688,288.896
1637761,New Balance 530 trainers in white silver and blue,11,Women,New Balance,525,White,"This item is excluded from promo , Lace-up fastening  , Branded tongue and cuff , Padded for comfort , ABZORB® midsole provides lightweight cushioning , Chunky sole , Moulded tread",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.7,111,163.708,295.318,292.109
1805478,New Balance 530 metallic trainers in white,11,Women,New Balance,525,Munsell white,"This item is excluded from promo , Pull tab for easy entry , Low-profile design , Lace-up fastening , Padded tongue and cuff  , Signature New Balance branding  , ABZORB midsole provides lightweight cushioning , Durable rubber outsole , Textured grip tread , Box shows US to be size and a half smaller and European size to be half a size smaller , Please order your normal size",Trainers,0,0,0,0,0,100,0,0,50,0,0,50,4.6,139,160.5,288.896,285.688
